                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6663,                 3.7464,                 2.0869,                  0.014,                0.28767,                0.01166,                0.00301,                  2.549,                 3.6173,                 2.2592,                      0,                      0,                      0
                      2,                 2.6857,                 3.8546,                 1.7964,                0.03067,                0.63014,                0.06678,                0.01862,                 2.5338,                 3.0252,                 2.2717,              1.934e-05,              1.934e-05,              1.934e-05
                      3,                 2.6343,                 3.3804,                 1.9078,                0.67606,                0.43836,                0.58961,                0.18489,                  2.439,                 1.9422,                 2.1537,              3.736e-05,              3.736e-05,              3.736e-05
                      4,                 2.4747,                 2.5435,                 1.6985,                0.77718,                0.82192,                0.89365,                0.31702,                 2.2915,                  1.047,                 2.0404,              5.406e-05,              5.406e-05,              5.406e-05
                      5,                 2.3149,                 1.5747,                 1.8806,                0.83858,                 0.9252,                0.94712,                  0.399,                 2.0379,                 1.6933,                 1.8383,              6.944e-05,              6.944e-05,              6.944e-05
                      6,                 1.8854,                 1.2854,                 1.4303,                 0.7825,                0.93151,                0.94587,                 0.4645,                 1.7857,                 2.6185,                 1.6639,               8.35e-05,               8.35e-05,               8.35e-05
                      7,                 1.7659,                 1.4154,                 1.4759,                0.71379,                0.94521,                0.92398,                0.50736,                 1.6024,                 2.8395,                 1.5143,              9.624e-05,              9.624e-05,              9.624e-05
                      8,                 1.6544,                  1.092,                 1.3824,                0.71843,                0.90411,                0.87684,                0.49969,                 1.5254,                  2.492,                 1.4369,             0.00010766,             0.00010766,             0.00010766
                      9,                 1.5327,                 1.2589,                 1.4547,                0.73351,                0.90492,                0.89255,                0.50555,                 1.5174,                 2.2662,                 1.4108,             0.00011776,             0.00011776,             0.00011776
                     10,                 1.7848,                 1.2348,                 1.3425,                 0.8351,                0.90187,                0.92335,                 0.5494,                 1.4824,                 2.1448,                 1.3841,             0.00012654,             0.00012654,             0.00012654
